NOME_FUNDO;DOC_FUNDO;DATA_FUNDO;NOME_ORIGINADOR;DOC_ORIGINADOR;NOME_CEDENTE;DOC_CEDENTE;NOME_SACADO;DOC_SACADO;SEU_NUMERO;NU_DOCUMENTO;TIPO_RECEBIVEL;VALOR_NOMINAL;VALOR_PRESENTE;VALOR_AQUISICAO;VALOR_PDD;FAIXA_PDD;DATA_REFERENCIA;DATA_VENCIMENTO_ORIGINAL;DATA_VENCIMENTO_AJUSTADA;DATA_EMISSAO;DATA_AQUISICAO;PRAZO;PRAZO_ATUAL;SITUACAO_RECEBIVEL;TAXA_CESSAO;TX_RECEBIVEL;COOBRIGACAO
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_10;607037242;CCB Digital;384,88;384,88;311,14;0,00;A;23/05/2022;11/03/2022;11/03/2022;22/06/2021;22/06/2021;182;-73;Vencido;0,19584421;0,34244415;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_11;607037242;CCB Digital;384,88;384,88;303,41;0,00;A;23/05/2022;11/04/2022;11/04/2022;22/06/2021;22/06/2021;203;-42;Vencido;0,19584421;0,34347268;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_12;607037242;CCB Digital;384,88;384,88;296,11;0,00;A;23/05/2022;11/05/2022;11/05/2022;22/06/2021;22/06/2021;223;-12;Vencido;0,19584421;0,34487144;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_13;607037242;CCB Digital;384,88;378,19;288,75;0,00;A;23/05/2022;11/06/2022;11/06/2022;22/06/2021;22/06/2021;246;15;A vencer;0,19584421;0,34229303;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_14;607037242;CCB Digital;384,88;369,79;281,80;0,00;A;23/05/2022;11/07/2022;11/07/2022;22/06/2021;22/06/2021;265;34;A vencer;0,19584421;0,34506372;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_15;607037242;CCB Digital;384,88;360,05;274,80;0,00;A;23/05/2022;11/08/2022;11/08/2022;22/06/2021;22/06/2021;288;57;A vencer;0,19584421;0,34282692;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_16;607037242;CCB Digital;384,88;351,26;267,97;0,00;A;23/05/2022;11/09/2022;11/09/2022;22/06/2021;22/06/2021;309;78;A vencer;0,19584421;0,34348829;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_17;607037242;CCB Digital;384,88;342,75;261,52;0,00;A;23/05/2022;11/10/2022;11/10/2022;22/06/2021;22/06/2021;330;99;A vencer;0,19584421;0,34324053;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_18;607037242;CCB Digital;384,88;334,36;255,02;0,00;A;23/05/2022;11/11/2022;11/11/2022;22/06/2021;22/06/2021;351;120;A vencer;0,19584421;0,34379842;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_19;607037242;CCB Digital;384,88;326,50;248,88;0,00;A;23/05/2022;11/12/2022;11/12/2022;22/06/2021;22/06/2021;371;140;A vencer;0,19584421;0,34463726;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;BELLIORI ESTETICA E CABELEIREIROS EIRELI;22.565.629/0001-11;607037242_20;607037242;CCB Digital;384,88;318,26;242,70;0,00;A;23/05/2022;11/01/2023;11/01/2023;22/06/2021;22/06/2021;393;162;A vencer;0,19584421;0,34402749;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_12;607037718;CCB Digital;6.053,70;6.049,15;5.085,59;0,00;A;23/05/2022;24/05/2022;24/05/2022;22/06/2021;22/06/2021;232;1;A vencer;0,19584421;0,20838034;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_13;607037718;CCB Digital;6.053,70;5.950,26;5.004,48;0,00;A;23/05/2022;24/06/2022;24/06/2022;22/06/2021;22/06/2021;254;23;A vencer;0,19584421;0,20784458;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_14;607037718;CCB Digital;6.053,70;5.857,52;4.927,22;0,00;A;23/05/2022;24/07/2022;24/07/2022;22/06/2021;22/06/2021;275;44;A vencer;0,19584421;0,20764772;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_15;607037718;CCB Digital;6.053,70;5.762,33;4.848,63;0,00;A;23/05/2022;24/08/2022;24/08/2022;22/06/2021;22/06/2021;297;66;A vencer;0,19584421;0,20724526;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_16;607037718;CCB Digital;6.053,70;5.668,93;4.771,30;0,00;A;23/05/2022;24/09/2022;24/09/2022;22/06/2021;22/06/2021;319;88;A vencer;0,19584421;0,20689713;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_17;607037718;CCB Digital;6.053,70;5.586,68;4.697,64;0,00;A;23/05/2022;24/10/2022;24/10/2022;22/06/2021;22/06/2021;338;107;A vencer;0,19584421;0,20813949;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_18;607037718;CCB Digital;6.053,70;5.498,71;4.622,72;0,00;A;23/05/2022;24/11/2022;24/11/2022;22/06/2021;22/06/2021;359;128;A vencer;0,19584421;0,20841105;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_19;607037718;CCB Digital;6.053,70;5.410,64;4.551,35;0,00;A;23/05/2022;24/12/2022;24/12/2022;22/06/2021;22/06/2021;381;150;A vencer;0,19584421;0,20763812;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;R. F. L. CRAVINHOS AUTO POSTO LTDA;26.767.183/0001-69;607037718_20;607037718;CCB Digital;6.053,70;5.325,44;4.478,76;0,00;A;23/05/2022;24/01/2023;24/01/2023;22/06/2021;22/06/2021;402;171;A vencer;0,19584421;0,20790725;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_20;607037327;CCB Digital;6.423,10;5.566,88;4.567,38;0,00;A;23/05/2022;18/01/2023;18/01/2023;22/06/2021;22/06/2021;398;167;A vencer;0,24057593;0,24095958;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_21;607037327;CCB Digital;6.423,10;5.461,52;4.484,19;0,00;A;23/05/2022;18/02/2023;18/02/2023;22/06/2021;22/06/2021;421;190;A vencer;0,24057593;0,23997804;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_22;607037327;CCB Digital;6.423,10;5.375,09;4.410,35;0,00;A;23/05/2022;18/03/2023;18/03/2023;22/06/2021;22/06/2021;439;208;A vencer;0,24057593;0,24086096;Nao
